 ,number,MoraActual,Colocado actual,Sucursal,FechaPrimerCompra,FechaUltimaCompra,Recencia,ComprasUltimoMes,ComprasPromedio6meses,ColocadoPromedio6meses,RentabilidadPromedioVale,RentabilidadPromedioMes,UsoLinea,LimiteCredito,LimiteContractual,Estatus,Nivel,R,F,M,Código RFM,Accion requerida
10530,9816,0,35463.72,Coatzacoalcos,2023-10-17,2025-09-01,3,2,3,"$33,091",$314,$879,0.7618857143,"$52,500","$100,000",Autorizado,Bronce,4,1,2,412,🎟️​ Crecer frecuencia
10531,9817,0,79079,Cd Obregon,2023-10-13,2025-09-03,1,7,6,"$72,924",$66,$405,98.25%,"$80,000","$400,000",Autorizado,Plata,5,2,3,523,🏆 Candidata a Incremento
10533,9819,0,34141,Francisco I Madero,2023-10-16,2025-09-02,2,3,2,"$30,223",$188,$440,0.9790487805,"$41,000","$100,000",Autorizado,Bronce,4,1,2,412,🏆 Candidata a Incremento
10534,9820,0,28318,Celaya,2023-10-28,2025-08-22,13,2,2,"$23,536",$403,$886,0.7261025641,"$39,000","$100,000",Autorizado,Bronce,4,1,2,412,🎟️​ Crecer frecuencia
10535,9821,0,26996,Queretaro,2023-10-13,2025-08-30,5,6,5,"$21,675",-$50,-$227,0.9998518519,"$27,000","$100,000",Autorizado,Bronce,4,2,2,422,🏆 Candidata a Incremento
10536,9822,0,44498,Culiacan,2023-10-12,2025-08-31,4,5,3,"$32,135",$412,"$1,319",0.9174845361,"$48,500","$100,000",Autorizado,Bronce,4,2,3,423,🎟️​ Crecer frecuencia
10538,9824,0,119691,Torreon,2023-10-17,2025-09-02,2,8,6,"$108,101",$180,"$1,141",0.73939375,"$160,000","$400,000",Autorizado,Oro,4,2,3,423,🎟️​ Crecer frecuencia
10539,9825,0,147712,Puerto Vallarta,2023-10-18,2025-08-29,6,10,7,"$139,897",$210,"$1,507",0.73856,"$200,000","$400,000",Autorizado,Oro,4,2,4,424,🔥 Mantener Racha
10543,9829,0,103911,Matamoros,2023-10-16,2025-08-31,4,8,6,"$86,092",$106,$673,69.44%,"$130,000","$400,000",Autorizado,Plata,4,2,4,424,🔥 Mantener Racha
10544,9830,0,120697.35,Chihuahua,2023-10-14,2025-09-03,1,10,7,"$109,040",$138,"$1,015",0.8685571429,"$140,000","$400,000",Autorizado,Oro,5,2,3,523,🎟️​ Crecer frecuencia
10545,9831,0,93928,Puerto Vallarta,2023-10-19,2025-08-27,8,9,3,"$68,694",$547,"$1,914",70.07%,"$119,500","$250,000",Autorizado,Plata,4,2,3,423,🎟️​ Crecer frecuencia
10546,9832,0,4932,Cd Cuauhtemoc,2023-10-17,2025-05-04,123,0,3,"$12,207",$312,$779,0.1233,"$40,000","$100,000",Autorizado,Inicial,1,1,1,111,🧊 Hibernando
10547,9833,0,35399.51,Orizaba,2023-10-13,2025-09-01,3,3,3,"$21,500",$230,$690,0.5103703704,"$67,500","$100,000",Autorizado,Bronce,4,1,2,412,🎟️​ Crecer frecuencia
10549,9835,0,98149.99,Minatitlan,2023-10-15,2025-09-03,1,8,6,"$78,908",$284,"$1,611",94.62%,"$98,500","$100,000",Autorizado,Plata,5,2,3,523,🎟️​ Crecer frecuencia
10550,9836,0,187175,Navojoa,2023-10-17,2025-09-03,1,14,11,"$158,039",$155,"$1,755",0.8715315789,"$190,000","$400,000",Autorizado,Platino,5,2,3,523,🎟️​ Crecer frecuencia
10552,9838,0,192687.44,Guamuchil,2023-10-15,2025-09-03,1,16,11,"$156,492",$244,"$2,643",0.881895,"$200,000","$400,000",Autorizado,Platino,5,3,3,533,📈​ Crecer Monto
10553,9839,0,88399,Villahermosa,2023-10-14,2025-09-03,1,9,7,"$67,328",$56,$401,75.02%,"$98,000","$100,000",Autorizado,Plata,5,2,3,523,🎟️​ Crecer frecuencia
10554,9840,0,12249,Durango,2023-10-16,2025-09-03,1,0,3,"$20,645",$163,$423,0.64075,"$20,000","$40,000",Autorizado,Bronce,5,1,1,511,🎟️​ Crecer frecuencia
10555,9841,0,146080.3,Torreon,2023-10-14,2025-09-03,1,11,10,"$131,125",$150,"$1,549",0.9745032258,"$155,000","$400,000",Autorizado,Oro,5,2,4,524,🏆 Candidata a Incremento
10557,9843,0,15079,Queretaro,2023-10-25,2025-09-01,3,3,3,"$17,315",-$108,-$305,0.95395,"$20,000","$100,000",Autorizado,Inicial,4,2,2,422,🏆 Candidata a Incremento
10559,9845,0,64536,Parras,2023-10-16,2025-09-03,1,5,4,"$67,067",$143,$550,73.25%,"$90,000","$400,000",Autorizado,Plata,5,2,2,522,🎟️​ Crecer frecuencia
10560,9846,0,26940,Costa Rica,2023-11-11,2025-09-03,1,4,2,"$10,479",$253,$443,0.68305,"$40,000","$400,000",Autorizado,Inicial,5,2,4,524,🔥 Mantener Racha
10561,9847,0,29033,Celaya,2023-10-21,2025-09-02,2,6,3,"$26,191",-$60,-$190,0.4624821429,"$56,000","$100,000",Autorizado,Bronce,4,2,2,422,🎟️​ Crecer frecuencia
10562,9848,0,43497,Saltillo,2023-10-18,2025-09-01,3,5,3,"$36,299",$565,"$1,919",0.7495666667,"$60,000","$100,000",Autorizado,Bronce,4,2,3,423,🎟️​ Crecer frecuencia
10563,9849,0,51331,La Paz,2023-10-17,2025-09-03,1,5,2,"$48,503",$573,"$1,336",0.6972056738,"$70,500","$100,000",Autorizado,Bronce,5,2,3,523,🎟️​ Crecer frecuencia
10564,9850,0,60247,Durango,2023-10-18,2025-08-26,9,6,6,"$47,113",-$19,-$102,0.6924942529,"$87,000","$100,000",Autorizado,Bronce,4,2,3,423,🎟️​ Crecer frecuencia
10565,9851,0,30100,Cardenas,2023-10-18,2025-07-31,35,0,4,"$43,492",$275,"$1,099",0.43,"$70,000","$100,000",Autorizado,Bronce,2,1,2,212,🚨Impedir Abandono
10566,9852,0,32048,Guasave,2023-10-17,2025-09-03,1,1,3,"$32,501",$152,$430,0.7233,"$50,000","$100,000",Autorizado,Bronce,5,1,2,512,🎟️​ Crecer frecuencia
10568,9854,0,56089.4,Morelia,2023-10-25,2025-08-18,17,6,6,"$54,682",$1,$4,53.36%,"$80,000","$100,000",Autorizado,Plata,3,2,2,322,🥶Enfriándose
10569,9855,0,112878,Celaya,2023-10-18,2025-08-23,12,11,5,"$91,533",$161,$883,93.29%,"$121,000","$250,000",Bloqueado (Automatico),Plata,4,3,4,434,🎟️​ Crecer frecuencia
10571,9857,0,66464.48,Navojoa,2023-10-26,2025-09-02,2,6,4,"$49,707",$549,"$2,377",0.8867123288,"$73,000","$100,000",Autorizado,Bronce,4,2,4,424,🔥 Mantener Racha
10572,9858,0,123434.77,Uruapan,2023-10-19,2025-08-28,7,11,6,"$106,006",$326,"$2,008",0.7960142857,"$140,000","$400,000",Autorizado,Oro,4,2,3,423,🎟️​ Crecer frecuencia
10577,9863,0,46964,Los Mochis,2023-10-18,2025-08-31,4,6,3,"$33,224",$262,$829,0.7182702703,"$55,500","$100,000",Autorizado,Bronce,4,2,3,423,🎟️​ Crecer frecuencia
10578,9864,0,34001,Navolato,2023-10-23,2025-09-02,2,1,2,"$32,389",$259,$571,0.47125,"$80,000","$400,000",Autorizado,Bronce,4,1,2,412,🎟️​ Crecer frecuencia
10580,9866,0,22283,Francisco I Madero,2023-10-21,2025-09-01,3,0,2,"$16,540",$849,"$1,698",0.7762539683,"$31,500","$100,000",Autorizado,Inicial,4,1,3,413,🎟️​ Crecer frecuencia
10581,9867,0,58758,Parras,2023-10-26,2025-09-01,3,2,3,"$45,280",$963,"$3,275",0.7599213483,"$89,000","$100,000",Autorizado,Bronce,4,1,3,413,🎟️​ Crecer frecuencia
10582,9868,0,19540.87,Matamoros,2023-10-22,2025-09-01,3,0,3,"$16,590",-$18,-$46,0.689483871,"$31,000","$100,000",Autorizado,Inicial,4,1,3,413,🎟️​ Crecer frecuencia
10587,9873,0,84998,San Jose del Cabo,2023-10-19,2025-09-03,1,7,7,"$74,035",-$334,"-$2,503",74.88%,"$129,534","$250,000",Autorizado,Plata,5,2,3,523,🎟️​ Crecer frecuencia
10588,9874,0,93859.61,Guasave,2023-10-26,2025-09-03,1,9,5,"$74,950",$190,$918,96.78%,"$95,000","$400,000",Autorizado,Plata,5,2,3,523,🏆 Candidata a Incremento
10589,9875,0,42744,Queretaro,2023-10-19,2025-09-02,2,8,4,"$30,243",-$98,-$425,0.7565,"$50,000","$100,000",Autorizado,Bronce,4,3,3,433,📈​ Crecer Monto
10591,9877,0,59101,Saltillo,2023-10-21,2025-08-29,6,5,4,"$56,053",$258,"$1,032",64.80%,"$77,000","$100,000",Autorizado,Plata,4,2,2,422,🎟️​ Crecer frecuencia
10592,9878,0,105498.87,San Pedro de las Colonias,2023-10-19,2025-09-03,1,4,5,"$81,422",$109,$582,96.26%,"$110,000","$400,000",Autorizado,Plata,5,1,4,514,🏆 Candidata a Incremento
10594,9880,0,51561,Parras,2023-10-20,2025-08-08,27,5,3,"$39,487","$1,203","$3,309",0.63,"$74,500","$100,000",Autorizado,Bronce,3,2,3,323,🥶Enfriándose
10597,9883,0,41621,Puerto Vallarta,2023-10-22,2025-09-01,3,2,3,"$42,500",$173,$462,0.8359363057,"$78,500","$100,000",Autorizado,Bronce,4,1,3,413,🎟️​ Crecer frecuencia
10600,9886,0,62903,Uruapan,2023-10-22,2025-09-02,2,4,4,"$52,333",$160,$704,76.56%,"$90,000","$400,000",Autorizado,Plata,4,1,2,412,🎟️​ Crecer frecuencia
10602,9888,0,25166,Navojoa,2023-10-22,2025-09-01,3,3,3,"$38,842",$102,$305,0.3169,"$70,000","$400,000",Autorizado,Bronce,4,1,2,412,🎟️​ Crecer frecuencia
10605,9891,0,53811,Macuspana,2023-10-20,2025-09-01,3,3,5,"$52,367",$8,$42,56.00%,"$81,000","$100,000",Autorizado,Plata,4,1,2,412,🎟️​ Crecer frecuencia
10606,9892,0,128444,Torreon,2023-10-22,2025-08-20,15,4,8,"$134,733",$212,"$1,699",0.5974139535,"$215,000","$400,000",Autorizado,Oro,4,1,3,413,🎟️​ Crecer frecuencia
10607,9893,0,22599.95,Monclova,2023-10-20,2025-08-22,13,2,2,"$38,943",$124,$296,0.293442623,"$61,000","$100,000",Autorizado,Bronce,4,1,2,412,🎟️​ Crecer frecuencia
9485,8771,47,12860.82,Guasave,2023-06-22,2025-04-22,135,0,3,"$23,383",$273,$954,0.2990888372,"$43,000","$100,000",Bloqueado (Automatico),Bronce,1,1,1,111,🧊 Hibernando
10608,9894,0,12498,Queretaro,2023-10-21,2025-08-30,5,3,3,"$15,981",-$108,-$305,0.6249,"$20,000","$100,000",Autorizado,Inicial,4,2,2,422,🎟️​ Crecer frecuencia
